Проэкт,Категории,Цена,Заявки
Рерайт статей тематики CS GO для Miralinks на постоянной основе,[],12 заявок,Здравствуйте.
Копирайтер по теме ВКонтакте,[],23 заявки,Требуется
Заказ №857975,[],4 заявки,Системное
Плагин для вордпресс,[],11 заявок,нужен
"Копирайтер по банковской теме – кредиты, ипотека, вклады",[],23 заявки,Требуется
"Специалист по аудиту и продвижению сайтов- магазинов, и рекламе",[],7 заявок,Аудит
Ищем Программиста для постоянной работы над сайтом,[],26 заявок,Нам
Рерайт футбольной тематики,[],55 заявок,Задача:
Заказ №855461,[],29 заявок,Переводы•20
Нарисовать интуитивное восприятие ряда слов.,[],153 заявки,Требуется
Интернет магазин постельного белья.,[],67 заявок,Необходимо
Ведение развлекательного сайта,[],51 заявка,Требуется
Исполнитель для написания статей под анкоры,[],161 заявка,Нужен
Яндекс понизил результаты выдачи,[],нет заявок,нет
Сделать правки на сайте,[],нет заявок,нет
Создать похожую работу,[],1 заявка,Здравствуйте.
Сделать редиректы с одного сайта на другой,[],2 заявки,Добрый
Wordpress: настройка шаблона,[],4 заявки,Есть
"Обработка фотографии, белый фон",[],12 заявок,Добрый
2. Перевод игрового ролика на английский язык,[],5 заявок,Перевод
3. Перевод игрового ролика на английский язык,[],3 заявки,Перевод
Создание сайта на WordPress,[],8 заявок,1.
Отрисовать страницу для сервиса,[],18 заявок,Суть
"Доработки по сайту, CMS Wordpress",[],1 заявка,Здравствуйте.
Сделать правки по сайту на движке vam shop,[],1 заявка,1-расстояние
PHP Word вставка таблицы,[],1 заявка,Есть
Верстка сайта,[],10 заявок,Нужно
Копирайтинг,[],5 заявок,Требуется
Создание видео для проекта ICO криптовалют,[],2 заявки,Создание
Нужно создать приложения под play.google,[],8 заявок,Здравствуйте.
Задизайнить по-живому друпальный каталог,[],2 заявки,Есть
"Рерайт для интернет магазина ( нефтепродукты,холодный асфальт и т.п.)",[],нет заявок,нет
Разработать сайт подобный сайту образцу,[],6 заявок,Добрый
"Требуется дизайнер, чтобы оформить соц. сети",[],15 заявок,Есть
Сверстать HTML\CSS,[],30 заявок,Нужно
Удаление негатива в сети,[],4 заявки,Необходимо
Интеграция Leadvertex с сайтом на WordPress,[],4 заявки,Необходимо
Добавить телефоны и режим работы в шапку сайта,[],5 заявок,Добрый
Сверстать внутренние страницы,[],35 заявок,Добрый
Создание 3-х баннеров,[],11 заявок,Добрый
Редактировать документ в фотошопе,[],13 заявок,Редактировать
Дизайн интернет-магазина автоаксессуаров,[],23 заявки,Тематика:
Создание информационного сайта на Wordpress,[],31 заявка,Суть
Доработка под себя 1C Управление Торговлей 11.2,[],нет заявок,нет
Расскрутка группы ВК,[],5 заявок,Есть
Веб-дизайнер для создания рекламных баннеров,[],10 заявок,Требуется
Перевод Интернет-маркетинговых статей с русского на английский,[],7 заявок,Добрый
Правки Opencart 2,[],5 заявок,После
Отклонение спамных ссылок на сайт (Disavow backlinks),[],нет заявок,нет
Импорт товаров на сайт ModX,[],5 заявок,1)Нужно
Скрипт на сервере для парсинга выдачи яндекс,[],5 заявок,Нужно
Продвижение сайта по игре.,[],6 заявок,Есть
Разработать 3 баннера,[],13 заявок,Требуется
Заказ 5-6 статей для сайта логистических услуг,[],3 заявки,Добрый
